District,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Gurdaspur,12948,12029.0,10451.0,10060.0,10694.0,10694.0,10600.0,10214.0,64390.0,20965.0,26126.0,16990.0,22139.0,17682.0
Pathankot,5252,5186.0,4127.0,4154.0,4966.0,4966.0,5070.0,4978.0,30973.0,9315.0,12070.0,8366.0,,
Amritsar,14389,13775.0,11564.0,11163.0,13113.0,13113.0,12961.0,12474.0,91462.0,24592.0,30235.0,20987.0,18194.0,15169.0
Tarn Taran,7455,6771.0,4990.0,5042.0,5486.0,5486.0,5406.0,5049.0,38285.0,9974.0,16175.0,9075.0,6763.0,6139.0
Kapurthala,4813,4530.0,3877.0,3916.0,3535.0,3535.0,3793.0,3648.0,36251.0,11135.0,10425.0,10642.0,6727.0,6947.0
Jalandhar,14558,13532.0,11999.0,11536.0,11098.0,11098.0,12125.0,11800.0,95928.0,22540.0,33785.0,24124.0,11922.0,11059.0
SBS Nagar,4218,3904.0,3508.0,3533.0,3357.0,3357.0,3503.0,3591.0,23809.0,8338.0,10709.0,7004.0,5486.0,4566.0
Hoshiarpur,11488,10781.0,9885.0,9819.0,9062.0,9062.0,9779.0,9611.0,62628.0,21613.0,26452.0,16157.0,14427.0,12809.0
Rupnagar,5250,5075.0,4776.0,4793.0,4515.0,4515.0,4554.0,4320.0,26187.0,8209.0,11242.0,7576.0,5696.0,4878.0
SAS Nagar,6412,6302.0,5526.0,4964.0,4706.0,4706.0,4890.0,4579.0,33846.0,7978.0,9821.0,7461.0,5977.0,3800.0
Ludhiana,20585,18775.0,15665.0,15280.0,13291.0,13291.0,14347.0,14203.0,166843.0,38260.0,38097.0,29283.0,25143.0,22979.0
Ferozepur,6409,5829.0,4738.0,4212.0,4573.0,4573.0,4596.0,3936.0,38451.0,8618.0,11960.0,7579.0,12820.0,10189.0
Fazilka,10206,9081.0,7404.0,7458.0,6845.0,6845.0,7164.0,7050.0,37909.0,10546.0,18084.0,7707.0,,
Faridkot,4665,4267.0,3621.0,3647.0,3272.0,3272.0,3326.0,3202.0,24116.0,6255.0,9634.0,5254.0,4542.0,3635.0
Sri Muktsar Sahib,7658,7049.0,5879.0,5925.0,5217.0,5217.0,5547.0,5553.0,37273.0,9146.0,17744.0,7239.0,5761.0,5240.0
Moga,8006,7191.0,5925.0,5978.0,5515.0,5515.0,5932.0,6007.0,44350.0,12025.0,19514.0,10875.0,9140.0,8121.0
Bathinda,10839,9972.0,8321.0,7802.0,6854.0,6854.0,7251.0,7183.0,56948.0,14949.0,21519.0,10325.0,8626.0,7695.0
Mansa,7384,6930.0,5596.0,5644.0,4615.0,4615.0,4808.0,4962.0,29558.0,7936.0,13373.0,6729.0,4840.0,3799.0
Sangrur,9724,11874.0,10239.0,9697.0,8870.0,8870.0,9451.0,9073.0,69036.0,17439.0,25777.0,14966.0,11168.0,9306.0
Barnala,4561,4252.0,3352.0,3374.0,2592.0,2592.0,2689.0,2673.0,25826.0,6782.0,8734.0,4400.0,3075.0,2154.0
Patiala,15529,14886.0,13332.0,12844.0,10990.0,10990.0,11706.0,11563.0,82029.0,20961.0,28400.0,18217.0,14658.0,11426.0
Fatehgarh Sahib,4576,4573.0,4063.0,4084.0,3527.0,3527.0,3946.0,3960.0,23236.0,6467.0,9956.0,6256.0,4935.0,3534.0
